name,brand,collection,price_category,gender,movement,case_material,case_material_category,water_resistance,water_resistance_category,brand_country,brand_age,collection_price_tier,warrenty,power_reserve,dial,bracelet,PRODUCT_PRICE_DETAIL,reference,brand_founded_year,is_price_outlier,collection_popularity,water_resistance_standardized,price_category_improved,case_diameter_numeric,case_size_category,brand_prestige_level
DiaStar Original 60-Year Anniversary Edition,Rado,DiaStar Original,Mid-Range,Unisex,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Unknown,,Premium Collection,5 Yıl,80 Saat,Gri,Paslanmaz Atelik,108.200₺,R12163118,,FALSE,3,Snorkeling (100m),Orta Segment,38,Orta (36-40mm),Orta Prestij
Master Collection,Longines,Watchmaking Tradition,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,30m,Splash Resistant,Switzerland,192,Premium Collection,5 Yıl,72 Saat,Gamaay,Paslanmaz Atelik,142.000₺,L2.919.4.78.6,1832,FALSE,54,Ganlak Kullanam (30m),Orta Segment,42,Bayak (40-44mm),Orta Prestij
Master Collection,Longines,Watchmaking Tradition,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,30m,Splash Resistant,Switzerland,192,Premium Collection,5 Yıl,72 Saat,Mavi,Paslanmaz Atelik,122.000₺,L2.893.4.92.6,1832,FALSE,54,Ganlak Kullanam (30m),Orta Segment,42,Bayak (40-44mm),Orta Prestij
Master Collection,Longines,Watchmaking Tradition,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,30m,Splash Resistant,Switzerland,192,Premium Collection,5 Yıl,66 Saat,Mavi,Paslanmaz Atelik,172.000₺,L2.859.4.92.6,1832,FALSE,54,Ganlak Kullanam (30m),Orta Segment,44,Bayak (40-44mm),Orta Prestij
Master Collection,Longines,Watchmaking Tradition,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,30m,Splash Resistant,Switzerland,192,Premium Collection,5 Yıl,38 Saat,Gamaay,Krokodil,125.000₺,L2.755.4.78.3,1832,FALSE,54,Ganlak Kullanam (30m),Orta Segment,39,Orta (36-40mm),Orta Prestij
Master Collection,Longines,Watchmaking Tradition,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,30m,Splash Resistant,Switzerland,192,Premium Collection,5 Yıl,66 Saat,Gamaay,Krokodil,186.000₺,L2.673.4.78.3,1832,FALSE,54,Ganlak Kullanam (30m),Premium,40,Orta (36-40mm),Orta Prestij
Master Collection,Longines,Watchmaking Tradition,Mid-Range,Women,Otomatik,Paslanmaz Atelik,Steel,30m,Splash Resistant,Switzerland,192,Premium Collection,5 Yıl,72 Saat,Sedef,Paslanmaz Atelik,161.000₺,L2.409.4.87.6,1832,FALSE,54,Ganlak Kullanam (30m),Orta Segment,34,Kaaak (<36mm),Orta Prestij
Master Collection,Longines,Watchmaking Tradition,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,30m,Splash Resistant,Switzerland,192,Premium Collection,5 Yıl,72 Saat,Gamaay,Krokodil,114.000₺,L2.628.4.78.3,1832,FALSE,54,Ganlak Kullanam (30m),Orta Segment,39,Orta (36-40mm),Orta Prestij
Master Collection,Longines,Watchmaking Tradition,Mid-Range,Women,Otomatik,Paslanmaz Atelik,Steel,30m,Splash Resistant,Switzerland,192,Premium Collection,5 Yıl,72 Saat,Gamaay,Paslanmaz Atelik,136.000₺,L2.409.4.78.6,1832,FALSE,54,Ganlak Kullanam (30m),Orta Segment,34,Kaaak (<36mm),Orta Prestij
Master Collection,Longines,Watchmaking Tradition,Mid-Range,Women,Otomatik,Paslanmaz Atelik,Steel,30m,Splash Resistant,Switzerland,192,Premium Collection,5 Yıl,72 Saat,Sedef,Krokodil,161.000₺,L2.409.4.87.2,1832,FALSE,54,Ganlak Kullanam (30m),Orta Segment,34,Kaaak (<36mm),Orta Prestij
Conquest Classic,Longines,Performance,Budget,Women,Pilli,Pembe Altan,Gold,50m,Water Resistant,Switzerland,192,Premium Collection,2 Yıl,,Mavi,Paslanmaz Atelik,64.000₺,L2.286.3.92.7,1832,FALSE,57,Yazme (50m),Ekonomik,30,Kaaak (<36mm),Orta Prestij
Master Collection,Longines,Watchmaking Tradition,Mid-Range,Women,Otomatik,Atelik Altn,Gold,30m,Splash Resistant,Switzerland,192,Premium Collection,5 Yıl,45 Saat,Sedef,Atelik Altn,183.000₺,L2.257.5.87.7,1832,FALSE,54,Ganlak Kullanam (30m),Premium,29,Kaaak (<36mm),Orta Prestij
De Ville Prestige Co-Axial Master Chronometer,Omega,De Ville,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,30m,Splash Resistant,Switzerland,176,Luxury Collection,5 Yıl,55 Saat,Siyah,Paslanmaz Atelik,250.300₺,434.10.40.20.01.001,1848,FALSE,13,Ganlak Kullanam (30m),Premium,40,Orta (36-40mm),Atok Prestijli
De Ville Prestige Co-Axial Master Chronometer,Omega,De Ville,Luxury,Erkek,Otomatik,Paslanmaz Atelik,Steel,30m,Splash Resistant,Switzerland,176,Luxury Collection,5 Yıl,55 Saat,Gri,Paslanmaz Atelik,308.500₺,434.10.41.21.06.001,1848,FALSE,13,Ganlak Kullanam (30m),Premium,41,Bayak (40-44mm),Atok Prestijli
Seamaster Planet Ocean 6000M Co-Axial Chronometer,Omega,Seamaster,Ultra-Luxury,Erkek,Otomatik,Titanyum,Titanium,6000m,Professional Diving,Switzerland,176,Ultra-Luxury Collection,5 Yıl,60 Saat,Siyah,Tekstil,692.600₺,215.92.46.21.01.001,1848,FALSE,59,Daiyer,Laks,46,Atok Bayak (>44mm),Atok Prestijli
De Ville Prestige Co-Axial Chronometer Small Seconds,Omega,De Ville,Ultra-Luxury,Erkek,Otomatik,Atelik Altn,Gold,30m,Splash Resistant,Switzerland,176,Luxury Collection,5 Yıl,55 Saat,Gamaay,Atelik Altn,506.300₺,434.20.41.20.02.001,1848,FALSE,13,Ganlak Kullanam (30m),Laks,41,Bayak (40-44mm),Atok Prestijli
Constellation Co-Axial Master Chronometer,Omega,Constellation,Luxury,Erkek,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,176,Luxury Collection,5 Yıl,60 Saat,Beyaz,Krokodil,360.800₺,131.33.41.21.04.001,1848,FALSE,42,Yazme (50m),Premium,41,Bayak (40-44mm),Atok Prestijli
De Ville Prestige Co-Axial Chronometer,Omega,De Ville,Ultra-Luxury,Women,Otomatik,Pembe Altan,Gold,30m,Splash Resistant,Switzerland,176,Luxury Collection,5 Yıl,55 Saat,Karmaza,Pembe Altan,1.897.300₺,434.55.34.20.61.001,1848,TRUE,13,Ganlak Kullanam (30m),Ultra Laks,34,Kaaak (<36mm),Atok Prestijli
De Ville Prestige Co-Axial Chronometer,Omega,De Ville,Luxury,Erkek,Otomatik,Paslanmaz Atelik,Steel,30m,Splash Resistant,Switzerland,176,Luxury Collection,5 Yıl,55 Saat,Mavi,Paslanmaz Atelik,308.500₺,434.10.41.21.03.001,1848,FALSE,13,Ganlak Kullanam (30m),Premium,41,Bayak (40-44mm),Atok Prestijli
Speedmaster Chronoscope Co-Axial Master Chronometer Chronograph,Omega,Speedmaster,Luxury,Erkek,Elle Kurmala,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,176,Ultra-Luxury Collection,5 Yıl,60 Saat,Gamaay,Paslanmaz Atelik,483.100₺,329.30.43.51.02.002,1848,FALSE,25,Yazme (50m),Laks,43,Bayak (40-44mm),Atok Prestijli
Constellation Co-Axial Master Chronometer,Omega,Constellation,Ultra-Luxury,Women,Otomatik,Atelik Altn,Gold,50m,Water Resistant,Switzerland,176,Luxury Collection,5 Yıl,50 Saat,Yeayil,Krokodil,605.500₺,131.23.29.20.99.001,1848,FALSE,42,Yazme (50m),Laks,29,Kaaak (<36mm),Atok Prestijli
Constellation Co-Axial Master Chronometer,Omega,Constellation,Ultra-Luxury,Women,Otomatik,Atelik Altn,Gold,50m,Water Resistant,Switzerland,176,Luxury Collection,5 Yıl,50 Saat,Mavi,Krokodil,605.500₺,131.23.29.20.99.003,1848,FALSE,42,Yazme (50m),Laks,29,Kaaak (<36mm),Atok Prestijli
Seamaster Aqua Terra,Omega,Seamaster,Ultra-Luxury,Women,Otomatik,Atelik Altn,Gold,150m,Swimming,Switzerland,176,Ultra-Luxury Collection,5 Yıl,55 Saat,Mavi,Atelik Altn,628.800₺,220.20.38.20.03.001,1848,FALSE,59,Yazme (50m),Laks,38,Orta (36-40mm),Atok Prestijli
Seamaster Diver 300M,Omega,Seamaster,Ultra-Luxury,Erkek,Otomatik,Pembe Altan,Gold,300m,Diving,Switzerland,176,Ultra-Luxury Collection,5 Yıl,55 Saat,Mavi,Kauasuk,1.495.700₺,210.62.42.20.03.001,1848,TRUE,59,Professyonel Dalaay (300m+),Ultra Laks,42,Bayak (40-44mm),Atok Prestijli
Constellation,Omega,Constellation,Luxury,Women,Pilli,Atelik Altn,Gold,30m,Splash Resistant,Switzerland,176,Luxury Collection,5 Yıl,,Sara,Atelik Altn,320.100₺,131.20.28.60.58.001,1848,FALSE,42,Ganlak Kullanam (30m),Premium,28,Kaaak (<36mm),Atok Prestijli
Seamaster Diver 300M,Omega,Seamaster,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,300m,Diving,Switzerland,176,Ultra-Luxury Collection,5 Yıl,55 Saat,Gri,Kauasuk,285.200₺,210.32.42.20.06.001,1848,FALSE,59,Professyonel Dalaay (300m+),Premium,42,Bayak (40-44mm),Atok Prestijli
Seamaster Diver 300M,Omega,Seamaster,Luxury,Erkek,Otomatik,Paslanmaz Atelik,Steel,300m,Diving,Switzerland,176,Ultra-Luxury Collection,5 Yıl,55 Saat,Beyaz,Paslanmaz Atelik,302.600₺,210.30.42.20.04.001,1848,FALSE,59,Professyonel Dalaay (300m+),Premium,42,Bayak (40-44mm),Atok Prestijli
Constellation,Omega,Constellation,Ultra-Luxury,Erkek,Otomatik,Pembe Altan,Gold,50m,Water Resistant,Switzerland,176,Luxury Collection,5 Yıl,60 Saat,Mavi,Krokodil,1.286.200₺,131.63.41.21.03.001,1848,FALSE,42,Yazme (50m),Ultra Laks,41,Bayak (40-44mm),Atok Prestijli
Seamaster Diver 300M,Omega,Seamaster,Ultra-Luxury,Erkek,Otomatik,Atelik Altn,Gold,300m,Diving,Switzerland,176,Ultra-Luxury Collection,5 Yıl,55 Saat,Siyah,Atelik Altn,646.000₺,210.20.42.20.01.001,1848,FALSE,59,Professyonel Dalaay (300m+),Laks,42,Bayak (40-44mm),Atok Prestijli
Constellation,Omega,Constellation,Ultra-Luxury,Women,Otomatik,Atelik Altn,Gold,50m,Water Resistant,Switzerland,176,Luxury Collection,5 Yıl,50 Saat,Kahverengi,Atelik Altn,547.400₺,131.20.29.20.63.001,1848,FALSE,42,Yazme (50m),Laks,29,Kaaak (<36mm),Atok Prestijli
Constellation,Omega,Constellation,Ultra-Luxury,Women,Pilli,Atelik Altn,Gold,30m,Splash Resistant,Switzerland,176,Luxury Collection,5 Yıl,,Mavi,Atelik Altn,529.900₺,131.25.25.60.53.002,1848,FALSE,42,Ganlak Kullanam (30m),Laks,25,Kaaak (<36mm),Atok Prestijli
Constellation,Omega,Constellation,Luxury,Women,Pilli,Atelik Altn,Gold,30m,Splash Resistant,Switzerland,176,Luxury Collection,5 Yıl,,Gamaay,Atelik Altn,494.000₺,131.25.28.60.52.001,1848,FALSE,42,Ganlak Kullanam (30m),Laks,28,Kaaak (<36mm),Atok Prestijli
Constellation,Omega,Constellation,Ultra-Luxury,Women,Pilli,Atelik Altn,Gold,30m,Splash Resistant,Switzerland,176,Luxury Collection,5 Yıl,,Sedef,Atelik Altn,512.200₺,131.25.28.60.55.001,1848,FALSE,42,Ganlak Kullanam (30m),Laks,28,Kaaak (<36mm),Atok Prestijli
Constellation,Omega,Constellation,Luxury,Women,Pilli,Atelik Altn,Gold,30m,Splash Resistant,Switzerland,176,Luxury Collection,5 Yıl,,Kahverengi,Atelik Altn,494.700₺,131.25.28.60.63.001,1848,FALSE,42,Ganlak Kullanam (30m),Laks,28,Kaaak (<36mm),Atok Prestijli
Constellation,Omega,Constellation,Luxury,Women,Pilli,Atelik Altn,Gold,30m,Splash Resistant,Switzerland,176,Luxury Collection,5 Yıl,,Gamaay,Atelik Altn,320.100₺,131.20.28.60.52.002,1848,FALSE,42,Ganlak Kullanam (30m),Premium,28,Kaaak (<36mm),Atok Prestijli
Constellation,Omega,Constellation,Ultra-Luxury,Women,Otomatik,Atelik Altn,Gold,50m,Water Resistant,Switzerland,176,Luxury Collection,5 Yıl,50 Saat,Sedef,Atelik Altn,512.200₺,131.20.29.20.05.001,1848,FALSE,42,Yazme (50m),Laks,29,Kaaak (<36mm),Atok Prestijli
Constellation,Omega,Constellation,Ultra-Luxury,Women,Otomatik,Atelik Altn,Gold,50m,Water Resistant,Switzerland,176,Luxury Collection,5 Yıl,50 Saat,Sedef,Atelik Altn,564.500₺,131.20.29.20.55.001,1848,FALSE,42,Yazme (50m),Laks,29,Kaaak (<36mm),Atok Prestijli
Constellation,Omega,Constellation,Mid-Range,Women,Pilli,Atelik Altn,Gold,30m,Splash Resistant,Switzerland,176,Luxury Collection,5 Yıl,,Gamaay,Atelik Altn,279.600₺,131.20.28.60.02.001,1848,FALSE,42,Ganlak Kullanam (30m),Premium,28,Kaaak (<36mm),Atok Prestijli
Constellation,Omega,Constellation,Ultra-Luxury,Women,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,176,Luxury Collection,5 Yıl,50 Saat,Gamaay,Paslanmaz Atelik,541.600₺,131.15.29.20.52.001,1848,FALSE,42,Yazme (50m),Laks,29,Kaaak (<36mm),Atok Prestijli
Constellation Co-Axial Master Chronometer,Omega,Constellation,Ultra-Luxury,Women,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,176,Luxury Collection,5 Yıl,50 Saat,Sedef,Paslanmaz Atelik,564.500₺,131.15.29.20.55.001,1848,FALSE,42,Yazme (50m),Laks,29,Kaaak (<36mm),Atok Prestijli
Constellation,Omega,Constellation,Luxury,Women,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,176,Luxury Collection,5 Yıl,50 Saat,Sedef,Paslanmaz Atelik,401.600₺,131.10.29.20.55.001,1848,FALSE,42,Yazme (50m),Premium,29,Kaaak (<36mm),Atok Prestijli
Constellation,Omega,Constellation,Luxury,Women,Pilli,Paslanmaz Atelik,Steel,30m,Splash Resistant,Switzerland,176,Luxury Collection,5 Yıl,,Gamaay,Paslanmaz Atelik,316.800₺,131.15.25.60.52.001,1848,FALSE,42,Ganlak Kullanam (30m),Premium,25,Kaaak (<36mm),Atok Prestijli
Constellation,Omega,Constellation,Luxury,Women,Pilli,Paslanmaz Atelik,Steel,30m,Splash Resistant,Switzerland,176,Luxury Collection,5 Yıl,,Sedef,Paslanmaz Atelik,366.700₺,131.15.28.60.55.001,1848,FALSE,42,Ganlak Kullanam (30m),Premium,28,Kaaak (<36mm),Atok Prestijli
Constellation,Omega,Constellation,Luxury,Women,Pilli,Paslanmaz Atelik,Steel,30m,Splash Resistant,Switzerland,176,Luxury Collection,5 Yıl,,Gri,Paslanmaz Atelik,348.400₺,131.15.28.60.56.001,1848,FALSE,42,Ganlak Kullanam (30m),Premium,28,Kaaak (<36mm),Atok Prestijli
Constellation,Omega,Constellation,Mid-Range,Women,Pilli,Paslanmaz Atelik,Steel,30m,Splash Resistant,Switzerland,176,Luxury Collection,5 Yıl,,Sedef,Paslanmaz Atelik,174.600₺,131.10.28.60.05.001,1848,FALSE,42,Ganlak Kullanam (30m),Premium,28,Kaaak (<36mm),Atok Prestijli
Constellation,Omega,Constellation,Mid-Range,Women,Pilli,Paslanmaz Atelik,Steel,30m,Splash Resistant,Switzerland,176,Luxury Collection,5 Yıl,,Sedef,Paslanmaz Atelik,215.300₺,131.10.28.60.55.001,1848,FALSE,42,Ganlak Kullanam (30m),Premium,28,Kaaak (<36mm),Atok Prestijli
Constellation,Omega,Constellation,Luxury,Women,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,176,Luxury Collection,5 Yıl,50 Saat,Gamaay,Paslanmaz Atelik,384.100₺,131.10.29.20.52.001,1848,FALSE,42,Yazme (50m),Premium,29,Kaaak (<36mm),Atok Prestijli
Constellation,Omega,Constellation,Ultra-Luxury,Women,Otomatik,Atelik Altn,Gold,100m,Water Resistant,Switzerland,176,Luxury Collection,5 Yıl,50 Saat,Sedef,Atelik Altn,511.600₺,127.20.27.20.55.002,1848,FALSE,42,Snorkeling (100m),Laks,27,Kaaak (<36mm),Atok Prestijli
Constellation,Omega,Constellation,Mid-Range,Women,Pilli,Paslanmaz Atelik,Steel,30m,Splash Resistant,Switzerland,176,Luxury Collection,5 Yıl,,Gamaay,Paslanmaz Atelik,186.200₺,131.10.25.60.52.001,1848,FALSE,42,Ganlak Kullanam (30m),Premium,25,Kaaak (<36mm),Atok Prestijli
Constellation,Omega,Constellation,Mid-Range,Women,Pilli,Paslanmaz Atelik,Steel,30m,Splash Resistant,Switzerland,176,Luxury Collection,5 Yıl,,Sedef,Paslanmaz Atelik,203.700₺,131.10.25.60.55.001,1848,FALSE,42,Ganlak Kullanam (30m),Premium,25,Kaaak (<36mm),Atok Prestijli
Constellation,Omega,Constellation,Luxury,Women,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,176,Luxury Collection,5 Yıl,50 Saat,Gamaay,Paslanmaz Atelik,374.300₺,127.10.27.20.52.001,1848,FALSE,42,Snorkeling (100m),Premium,27,Kaaak (<36mm),Atok Prestijli
Constellation,Omega,Constellation,Luxury,Women,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,176,Luxury Collection,5 Yıl,50 Saat,Sedef,Paslanmaz Atelik,383.100₺,127.10.27.20.55.001,1848,FALSE,42,Snorkeling (100m),Premium,27,Kaaak (<36mm),Atok Prestijli
Constellation,Omega,Constellation,Luxury,Unisex,Otomatik,Atelik Altn,Gold,100m,Water Resistant,Switzerland,176,Luxury Collection,5 Yıl,48 Saat,Sara,Atelik Altn,458.000₺,123.20.35.20.58.001,1848,FALSE,42,Snorkeling (100m),Laks,35,Kaaak (<36mm),Atok Prestijli
Constellation,Omega,Constellation,Luxury,Erkek,Otomatik,Atelik Altn,Gold,100m,Water Resistant,Switzerland,176,Luxury Collection,5 Yıl,60 Saat,Gamaay,Atelik Altn,499.700₺,123.20.38.21.02.006,1848,FALSE,42,Snorkeling (100m),Laks,38,Orta (36-40mm),Atok Prestijli
Constellation,Omega,Constellation,Luxury,Women,Pilli,Atelik Altn,Gold,100m,Water Resistant,Switzerland,176,Luxury Collection,5 Yıl,,Sedef,Atelik Altn,428.700₺,123.25.24.60.55.004,1848,FALSE,42,Snorkeling (100m),Laks,24,Kaaak (<36mm),Atok Prestijli
Constellation,Omega,Constellation,Luxury,Women,Pilli,Atelik Altn,Gold,100m,Water Resistant,Switzerland,176,Luxury Collection,5 Yıl,,Sedef,Atelik Altn,474.100₺,123.25.27.60.55.002,1848,FALSE,42,Snorkeling (100m),Laks,27,Kaaak (<36mm),Atok Prestijli
Constellation,Omega,Constellation,Luxury,Erkek,Otomatik,Atelik Altn,Gold,100m,Water Resistant,Switzerland,176,Luxury Collection,5 Yıl,48 Saat,Gamaay,Atelik Altn,460.900₺,123.20.35.20.52.001,1848,FALSE,42,Snorkeling (100m),Laks,35,Kaaak (<36mm),Atok Prestijli
Constellation,Omega,Constellation,Mid-Range,Unisex,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,176,Luxury Collection,5 Yıl,48 Saat,Gamaay,Paslanmaz Atelik,297.500₺,123.10.35.20.52.001,1848,FALSE,42,Snorkeling (100m),Premium,35,Kaaak (<36mm),Atok Prestijli
Octo Roma,Bvlgari,Octo,Luxury,Erkek,Otomatik,Karbon,Carbon,100m,Water Resistant,Italy,140,Ultra-Luxury Collection,5 Yıl,42 Saat,Siyah,Kauasuk,412.000₺,103486,1884,FALSE,16,Snorkeling (100m),Laks,41,Bayak (40-44mm),Atok Prestijli
Octo Finissimo,Bvlgari,Octo,Ultra-Luxury,Erkek,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Italy,140,Ultra-Luxury Collection,5 Yıl,55 Saat,Gamaay,Paslanmaz Atelik,783.000₺,103661,1884,FALSE,16,Snorkeling (100m),Ultra Laks,43,Bayak (40-44mm),Atok Prestijli
Bvlgari Bvlgari,Bvlgari,Bvlgari Bvlgari,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Italy,140,Luxury Collection,5 Yıl,42 Saat,Siyah,Tekstil,232.000₺,103570,1884,FALSE,14,Yazme (50m),Premium,41,Bayak (40-44mm),Atok Prestijli
Chronomaster El Primero,Zenith,Chronomaster,Ultra-Luxury,Erkek,Otomatik,Seramik,Ceramic,100m,Water Resistant,Switzerland,159,Ultra-Luxury Collection,2 Yıl,50 Saat,Gri,Deri,517.900₺,24.2042.400/27.R799,1865,FALSE,17,Snorkeling (100m),Laks,42,Bayak (40-44mm),Atok Prestijli
Admiral’s Cup Black Chronograph Diamonds,Corum,Admiral,Ultra-Luxury,Women,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Unknown,,Ultra-Luxury Collection,2 Yıl,42 Saat,Siyah,Kauasuk,837.200₺,984.970.97/F371 AN32,,FALSE,4,Snorkeling (100m),Ultra Laks,40,Orta (36-40mm),Atok Prestijli
Admiral’s Cup GMT Automatic,Corum,Admiral,Luxury,Erkek,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Unknown,,Ultra-Luxury Collection,2 Yıl,42 Saat,Siyah,Paslanmaz Atelik,410.800₺,383.330.20/V701 AN12,,FALSE,4,Snorkeling (100m),Laks,44,Bayak (40-44mm),Atok Prestijli
Master Collection,Longines,Watchmaking Tradition,Mid-Range,Women,Otomatik,Paslanmaz Atelik,Steel,30m,Splash Resistant,Switzerland,192,Premium Collection,5 Yıl,45 Saat,Gamaay,Krokodil,103.000₺,L2.128.4.78.3,1832,FALSE,54,Ganlak Kullanam (30m),Orta Segment,26,Kaaak (<36mm),Orta Prestij
Happy Sport Square,Chopard,Diayer Koleksiyonlar,Luxury,Women,Pilli,Paslanmaz Atelik,Steel,30m,Splash Resistant,Switzerland,164,Ultra-Luxury Collection,2 Yıl,,Beyaz,Krokodil,462.800₺,278496-3001,1860,FALSE,2,Ganlak Kullanam (30m),Laks,30,Kaaak (<36mm),Atok Prestijli
Admiral’s Cup Legend 38,Corum,Admiral,Ultra-Luxury,Women,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Unknown,,Ultra-Luxury Collection,2 Yıl,42 Saat,Gri,Paslanmaz Atelik,504.400₺,082.101.47/V200 PN11,,FALSE,4,Yazme (50m),Laks,38,Orta (36-40mm),Atok Prestijli
P-Series,Sevenfriday,P-Series,Budget,Erkek,Otomatik,Paslanmaz Atelik,Steel,30m,Splash Resistant,Unknown,,Entry Collection,2 Yıl,40 Saat,Siyah,Kauasuk,70.200₺,SF-P3/03,,FALSE,23,Ganlak Kullanam (30m),Ekonomik,47,Atok Bayak (>44mm),Giriş Seviyesi
Record Collection,Longines,Watchmaking Tradition,Mid-Range,Women,Otomatik,Paslanmaz Atelik,Steel,30m,Splash Resistant,Switzerland,192,Premium Collection,5 Yıl,40 Saat,Gamaay,Krokodil,109.000₺,L2.321.4.76.2,1832,FALSE,54,Ganlak Kullanam (30m),Orta Segment,30,Kaaak (<36mm),Orta Prestij
Master Collection,Longines,Watchmaking Tradition,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,30m,Splash Resistant,Switzerland,192,Premium Collection,5 Yıl,64 Saat,Gamaay,Krokodil,116.300₺,L2.628.4.78.5,1832,FALSE,54,Ganlak Kullanam (30m),Orta Segment,39,Orta (36-40mm),Orta Prestij
Master Collection,Longines,Watchmaking Tradition,Mid-Range,Unisex,Otomatik,Paslanmaz Atelik,Steel,30m,Splash Resistant,Switzerland,192,Premium Collection,5 Yıl,72 Saat,Mavi,Paslanmaz Atelik,136.000₺,L2.628.4.97.6,1832,FALSE,54,Ganlak Kullanam (30m),Orta Segment,39,Orta (36-40mm),Orta Prestij
Master Collection,Longines,Watchmaking Tradition,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,30m,Splash Resistant,Switzerland,192,Premium Collection,5 Yıl,50 Saat,Gamaay,Krokodil,131.000₺,L2.708.4.78.3,1832,FALSE,54,Ganlak Kullanam (30m),Orta Segment,39,Orta (36-40mm),Orta Prestij
Conquest Classic,Longines,Performance,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,192,Premium Collection,5 Yıl,54 Saat,Siyah,Paslanmaz Atelik,178.000₺,L2.786.4.56.6,1832,FALSE,57,Yazme (50m),Premium,41,Bayak (40-44mm),Orta Prestij
Master Collection,Longines,Watchmaking Tradition,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,30m,Splash Resistant,Switzerland,192,Premium Collection,5 Yıl,72 Saat,Gamaay,Paslanmaz Atelik,139.000₺,L2.793.4.77.6,1832,FALSE,54,Ganlak Kullanam (30m),Orta Segment,40,Orta (36-40mm),Orta Prestij
Conquest V.H.P,Longines,Performance,Budget,Erkek,Pilli,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,192,Premium Collection,2 Yıl,,Mavi,Paslanmaz Atelik,75.000₺,L3.726.2.96.6,1832,FALSE,57,Yazme (50m),Ekonomik,43,Bayak (40-44mm),Orta Prestij
Aquis Date,Oris,Aquis,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,300m,Diving,Unknown,,Premium Collection,2 Yıl,38 Saat,Yeayil,Paslanmaz Atelik,137.800₺,01 733 7730 4157-07 8 24 05PEB,,FALSE,36,Professyonel Dalaay (300m+),Orta Segment,44,Bayak (40-44mm),Orta Prestij
Aquis Date Calibre 400,Oris,Aquis,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,300m,Diving,Unknown,,Premium Collection,2 Yıl,120 Saat,Mavi,Kauasuk,202.800₺,01 400 7769 4135-07 4 22 74FC,,FALSE,36,Professyonel Dalaay (300m+),Premium,42,Bayak (40-44mm),Orta Prestij
Divers Sixty Five Chronograph,Oris,Divers,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Unknown,,Premium Collection,2 Yıl,48 Saat,Siyah,Paslanmaz Atelik,252.200₺,01 771 7744 4354-07 8 21 18,,FALSE,13,Snorkeling (100m),Premium,43,Bayak (40-44mm),Orta Prestij
Divers Sixty Five,Oris,Divers,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Unknown,,Premium Collection,2 Yıl,38 Saat,Yeayil,Paslanmaz Atelik,148.200₺,01 733 7707 4357-07 8 20 18,,FALSE,13,Snorkeling (100m),Orta Segment,40,Orta (36-40mm),Orta Prestij
Aquis Depth Gauge,Oris,Aquis,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,500m,Diving,Unknown,,Premium Collection,2 Yıl,38 Saat,Siyah,Paslanmaz Atelik,247.000₺,01 733 7755 4154-Set MB,,FALSE,36,Professyonel Dalaay (300m+),Premium,46,Atok Bayak (>44mm),Orta Prestij
ProPilot X Calibre 400,Oris,ProPilot X,Mid-Range,Erkek,Otomatik,Titanyum,Titanium,100m,Water Resistant,Unknown,,Premium Collection,2 Yıl,120 Saat,Turuncu,Titanyum,252.200₺,01 400 7778 7158-07 7 20 01TLC,,FALSE,4,Snorkeling (100m),Premium,39,Orta (36-40mm),Orta Prestij
