name,brand,collection,price,price_category,gender,movement,case material,case_material_category,water_resistance,water_resistance_category,brand_country,brand_age,collection_price_tier,warrenty,power_reserve,dial,bracelet,PRODUCT_NAME_DETAIL,PRODUCT_PRICE_DETAIL,reference,brand_founded_year,brand_avg_price,brand_median_price,brand_price_std,brand_product_count,price_vs_brand_avg,price_percentile,price_zscore,is_price_outlier,collection_popularity,water_resistance_standardized,price_category_improved,case_diameter_numeric,case_size_category,brand_prestige_level
Speedmaster Chronoscope Co-Axial Master Chronometer,Omega,Speedmaster,465600,Luxury,Erkek,Elle Kurmala,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,176,Ultra-Luxury Collection,5 Yıl,60 Saat,Gamaay,Deri,Speedmaster Chronoscope Co-Axial Master Chronometer,465.600₺,329.32.43.51.02.001,1848,513525.72,401600,458838.5,140,-0.09332681,0.7868264,0.20911936,FALSE,25,Yazme (50m),Laks,43,Bayak (40-44mm),Atok Prestijli
PRX,Tissot,T-Classic Collection,18590,Budget,Erkek,Pilli,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,,Mavi,Kauasuk,PRX,18.590₺,T137.410.17.041.00,1853,30113.854,26090,13456.789,288,-0.38267615,0.028742515,-0.59980386,FALSE,160,Snorkeling (100m),Ekonomik,40,Orta (36-40mm),Giriş Seviyesi
Chemin Des Tourelles Powermatic 80,Tissot,T-Classic Collection,40780,Budget,Erkek,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,80 Saat,Mavi,Deri,Chemin Des Tourelles Powermatic 80,40.780₺,T139.807.16.041.00,1853,30113.854,26090,13456.789,288,0.354194,0.13682635,-0.55964816,FALSE,160,Yazme (50m),Ekonomik,39,Orta (36-40mm),Giriş Seviyesi
T-Race Chronograph,Tissot,T-Sport Collection,29080,Budget,Erkek,Pilli,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,,Beyaz,Silikon,T-Race Chronograph,29.080₺,T141.417.17.011.00,1853,30113.854,26090,13456.789,288,-0.03433151,0.09820359,-0.58082086,FALSE,97,Snorkeling (100m),Ekonomik,45,Atok Bayak (>44mm),Giriş Seviyesi
PRX,Tissot,T-Classic Collection,20090,Budget,Unisex,Pilli,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,,Yeayil,Paslanmaz Atelik,PRX,20.090₺,T137.210.11.081.00,1853,30113.854,26090,13456.789,288,-0.3328652,0.04251497,-0.5970894,FALSE,160,Snorkeling (100m),Ekonomik,35,Kaaak (<36mm),Giriş Seviyesi
Lovely Round,Tissot,T-Lady Collection,17690,Budget,Women,Pilli,Paslanmaz Atelik,Steel,30m,Splash Resistant,Switzerland,171,Entry Collection,2 Yıl,,Sedef,Paslanmaz Atelik,Lovely Round,17.690₺,T140.009.11.111.00,1853,30113.854,26090,13456.789,288,-0.41256273,0.021556886,-0.6014325,FALSE,23,Ganlak Kullanam (30m),Ekonomik,20,Kaaak (<36mm),Giriş Seviyesi
Lovely Round,Tissot,T-Lady Collection,22490,Budget,Women,Pilli,Atelik Altn,Gold,30m,Splash Resistant,Switzerland,171,Entry Collection,2 Yıl,,Sedef,Paslanmaz Atelik,Lovely Round,22.490₺,T140.009.33.111.00,1853,30113.854,26090,13456.789,288,-0.25316766,0.061676648,-0.5927463,FALSE,23,Ganlak Kullanam (30m),Ekonomik,20,Kaaak (<36mm),Giriş Seviyesi
Everytime Lady,Tissot,T-Classic Collection,13800,Budget,Women,Pilli,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,,Mavi,Sentetik,Everytime Lady,13.800₺,T143.210.17.091.00,1853,30113.854,26090,13456.789,288,-0.54173917,0.000898204,-0.608472,FALSE,160,Yazme (50m),Ekonomik,34,Kaaak (<36mm),Giriş Seviyesi
Le Locle Powermatic 80 Open Heart,Tissot,T-Classic Collection,41080,Budget,Erkek,Otomatik,Paslanmaz Atelik,Steel,30m,Splash Resistant,Switzerland,171,Entry Collection,2 Yıl,80 Saat,Gamaay,Krokodil,Le Locle Powermatic 80 Open Heart,41.080₺,T006.407.16.033.01,1853,30113.854,26090,13456.789,288,0.36415616,0.13862276,-0.5591053,FALSE,160,Ganlak Kullanam (30m),Ekonomik,40,Orta (36-40mm),Giriş Seviyesi
Le Locle Powermatic 80 Open Heart,Tissot,T-Classic Collection,48270,Budget,Erkek,Otomatik,Atelik Altn,Gold,30m,Splash Resistant,Switzerland,171,Entry Collection,2 Yıl,80 Saat,Gamaay,Paslanmaz Atelik,Le Locle Powermatic 80 Open Heart,48.270₺,T006.407.22.033.02,1853,30113.854,26090,13456.789,288,0.6029167,0.16586827,-0.546094,FALSE,160,Ganlak Kullanam (30m),Ekonomik,40,Orta (36-40mm),Giriş Seviyesi
Gentleman Powermatic 80 Open Heart,Tissot,T-Classic Collection,47070,Budget,Erkek,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,80 Saat,Mavi,Paslanmaz Atelik,Gentleman Powermatic 80 Open Heart,47.070₺,T127.407.11.041.01,1853,30113.854,26090,13456.789,288,0.5630679,0.16197605,-0.5482656,FALSE,160,Snorkeling (100m),Ekonomik,40,Orta (36-40mm),Giriş Seviyesi
Everytime Gent,Tissot,T-Classic Collection,14990,Budget,Erkek,Pilli,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,,Yeayil,Paslanmaz Atelik,Everytime Gent,14.990₺,T143.410.11.091.00,1853,30113.854,26090,13456.789,288,-0.5022225,0.004491018,-0.60631853,FALSE,160,Yazme (50m),Ekonomik,40,Orta (36-40mm),Giriş Seviyesi
Seastar 2000 Professional Powermatic 80,Tissot,T-Sport Collection,60860,Budget,Erkek,Otomatik,Paslanmaz Atelik,Steel,600m,Professional Diving,Switzerland,171,Entry Collection,2 Yıl,80 Saat,Mavi,Kauasuk,Seastar 2000 Professional Powermatic 80,60.860₺,T120.607.37.041.00,1853,30113.854,26090,13456.789,288,1.0209967,0.18383233,-0.5233108,FALSE,97,Daiyer,Ekonomik,46,Atok Bayak (>44mm),Giriş Seviyesi
Gentleman,Tissot,T-Classic Collection,27590,Budget,Erkek,Pilli,Titanyum,Titanium,100m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,,Gri,Titanyum,Gentleman,27.590₺,T127.410.44.081.00,1853,30113.854,26090,13456.789,288,-0.0838104,0.093712576,-0.5835172,FALSE,160,Snorkeling (100m),Ekonomik,40,Orta (36-40mm),Giriş Seviyesi
Seastar 2000 Professional Powermatic 80,Tissot,T-Sport Collection,57270,Budget,Erkek,Otomatik,Paslanmaz Atelik,Steel,600m,Professional Diving,Switzerland,171,Entry Collection,2 Yıl,80 Saat,Siyah,Silikon,Seastar 2000 Professional Powermatic 80,57.270₺,T120.607.17.441.01,1853,30113.854,26090,13456.789,288,0.90178245,0.17994012,-0.5298073,FALSE,97,Daiyer,Ekonomik,46,Atok Bayak (>44mm),Giriş Seviyesi
Gentleman,Tissot,T-Classic Collection,27590,Budget,Erkek,Pilli,Titanyum,Titanium,100m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,,Mavi,Titanyum,Gentleman,27.590₺,T127.410.44.041.00,1853,30113.854,26090,13456.789,288,-0.0838104,0.093712576,-0.5835172,FALSE,160,Snorkeling (100m),Ekonomik,40,Orta (36-40mm),Giriş Seviyesi
Chrono XL Classic,Tissot,T-Sport Collection,23990,Budget,Erkek,Pilli,Atelik Altn,Gold,100m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,,Yeayil,Atelik Altn,Chrono XL Classic,23.990₺,T116.617.22.091.00,1853,30113.854,26090,13456.789,288,-0.2033567,0.07335329,-0.59003186,FALSE,97,Snorkeling (100m),Ekonomik,45,Atok Bayak (>44mm),Giriş Seviyesi
Everytime Lady,Tissot,T-Classic Collection,16190,Budget,Women,Pilli,Atelik Altn,Gold,50m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,,Azampanya,Atelik Altn,Everytime Lady,16.190₺,T143.210.33.021.00,1853,30113.854,26090,13456.789,288,-0.4623737,0.015568863,-0.60414696,FALSE,160,Yazme (50m),Ekonomik,34,Kaaak (<36mm),Giriş Seviyesi
Le Locle Powermatic 80,Tissot,T-Classic Collection,35980,Budget,Erkek,Otomatik,Paslanmaz Atelik,Steel,30m,Splash Resistant,Switzerland,171,Entry Collection,2 Yıl,80 Saat,Siyah,Paslanmaz Atelik,Le Locle Powermatic 80,35.980₺,T006.407.11.053.00,1853,30113.854,26090,13456.789,288,0.1947989,0.11886228,-0.5683344,FALSE,160,Ganlak Kullanam (30m),Ekonomik,40,Orta (36-40mm),Giriş Seviyesi
Gentleman Powermatic 80 Open Heart,Tissot,T-Classic Collection,47070,Budget,Erkek,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,80 Saat,Gamaay,Paslanmaz Atelik,Gentleman Powermatic 80 Open Heart,47.070₺,T127.407.11.031.01,1853,30113.854,26090,13456.789,288,0.5630679,0.16197605,-0.5482656,FALSE,160,Snorkeling (100m),Ekonomik,40,Orta (36-40mm),Giriş Seviyesi
Supersport Chrono,Tissot,T-Sport Collection,25490,Budget,Erkek,Pilli,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,,Mavi,Paslanmaz Atelik,Supersport Chrono,25.490₺,T125.617.11.041.00,1853,30113.854,26090,13456.789,288,-0.15354575,0.084730536,-0.5873174,FALSE,97,Snorkeling (100m),Ekonomik,46,Atok Bayak (>44mm),Giriş Seviyesi
Seastar 1000 Chronograph,Tissot,T-Sport Collection,31480,Budget,Erkek,Pilli,Paslanmaz Atelik,Steel,300m,Diving,Switzerland,171,Entry Collection,2 Yıl,,Mavi,Paslanmaz Atelik,Seastar 1000 Chronograph,31.480₺,T120.417.11.041.03,1853,30113.854,26090,13456.789,288,0.045366023,0.10988024,-0.5764777,FALSE,97,Professyonel Dalaay (300m+),Ekonomik,46,Atok Bayak (>44mm),Giriş Seviyesi
PRX,Tissot,T-Classic Collection,20090,Budget,Unisex,Pilli,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,,Mavi,Paslanmaz Atelik,PRX,20.090₺,T137.210.11.041.00,1853,30113.854,26090,13456.789,288,-0.3328652,0.04251497,-0.5970894,FALSE,160,Snorkeling (100m),Ekonomik,35,Kaaak (<36mm),Giriş Seviyesi
PRX,Tissot,T-Classic Collection,20090,Budget,Unisex,Pilli,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,,Mavi,Paslanmaz Atelik,PRX,20.090₺,T137.210.11.351.00,1853,30113.854,26090,13456.789,288,-0.3328652,0.04251497,-0.5970894,FALSE,160,Snorkeling (100m),Ekonomik,35,Kaaak (<36mm),Giriş Seviyesi
PRX Automatic Chronograph,Tissot,T-Classic Collection,100140,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,60 Saat,Mavi,Paslanmaz Atelik,PRX Automatic Chronograph,100.140₺,T137.427.11.041.00,1853,30113.854,26090,13456.789,288,2.3253796,0.2742515,-0.45222843,FALSE,160,Snorkeling (100m),Orta Segment,42,Bayak (40-44mm),Giriş Seviyesi
Supersport Chrono,Tissot,T-Sport Collection,24290,Budget,Erkek,Pilli,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,,Siyah,Deri,Supersport Chrono,24.290₺,T125.617.36.051.01,1853,30113.854,26090,13456.789,288,-0.19339451,0.07634731,-0.589489,FALSE,97,Snorkeling (100m),Ekonomik,46,Atok Bayak (>44mm),Giriş Seviyesi
Gentleman,Tissot,T-Classic Collection,22190,Budget,Erkek,Pilli,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,,Siyah,Paslanmaz Atelik,Gentleman,22.190₺,T127.410.11.051.00,1853,30113.854,26090,13456.789,288,-0.26312986,0.05958084,-0.5932892,FALSE,160,Snorkeling (100m),Ekonomik,40,Orta (36-40mm),Giriş Seviyesi
Gent XL Classic,Tissot,T-Sport Collection,16190,Budget,Erkek,Pilli,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,,Mavi,Paslanmaz Atelik,Gent XL Classic,16.190₺,T116.410.11.047.00,1853,30113.854,26090,13456.789,288,-0.4623737,0.015568863,-0.60414696,FALSE,97,Snorkeling (100m),Ekonomik,42,Bayak (40-44mm),Giriş Seviyesi
Supersport Chrono,Tissot,T-Sport Collection,25490,Budget,Erkek,Pilli,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,,Siyah,Paslanmaz Atelik,Supersport Chrono,25.490₺,T125.617.11.051.00,1853,30113.854,26090,13456.789,288,-0.15354575,0.084730536,-0.5873174,FALSE,97,Snorkeling (100m),Ekonomik,46,Atok Bayak (>44mm),Giriş Seviyesi
PR 100 Sport Chic,Tissot,T-Classic Collection,20390,Budget,Women,Pilli,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,,Sedef,Paslanmaz Atelik,PR 100 Sport Chic,20.390₺,T101.910.11.121.00,1853,30113.854,26090,13456.789,288,-0.322903,0.04700599,-0.59654653,FALSE,160,Snorkeling (100m),Ekonomik,36,Orta (36-40mm),Giriş Seviyesi
Seastar 1000,Tissot,T-Sport Collection,22790,Budget,Women,Pilli,Atelik Altn,Gold,300m,Diving,Switzerland,171,Entry Collection,2 Yıl,,Siyah,Paslanmaz Atelik,Seastar 1000,22.790₺,T120.210.21.051.00,1853,30113.854,26090,13456.789,288,-0.24320547,0.06347305,-0.59220344,FALSE,97,Professyonel Dalaay (300m+),Ekonomik,36,Orta (36-40mm),Giriş Seviyesi
PRC 200 Chronograph,Tissot,T-Sport Collection,26690,Budget,Erkek,Pilli,Paslanmaz Atelik,Steel,200m,Swimming,Switzerland,171,Entry Collection,2 Yıl,,Siyah,Paslanmaz Atelik,PRC 200 Chronograph,26.690₺,T114.417.11.057.00,1853,30113.854,26090,13456.789,288,-0.11369698,0.091916166,-0.58514583,FALSE,97,Dalaay (200m),Ekonomik,43,Bayak (40-44mm),Giriş Seviyesi
PRX,Tissot,T-Classic Collection,17690,Budget,Erkek,Pilli,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,,Mavi,Krokodil,PRX,17.690₺,T137.410.16.041.00,1853,30113.854,26090,13456.789,288,-0.41256273,0.021556886,-0.6014325,FALSE,160,Snorkeling (100m),Ekonomik,40,Orta (36-40mm),Giriş Seviyesi
PRX,Tissot,T-Classic Collection,24890,Budget,Erkek,Pilli,Atelik Altn,Gold,100m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,,Sara,Atelik Altn,PRX,24.890₺,T137.410.33.021.00,1853,30113.854,26090,13456.789,288,-0.17347012,0.07904191,-0.58840317,FALSE,160,Snorkeling (100m),Ekonomik,40,Orta (36-40mm),Giriş Seviyesi
PRX Powermatic 80,Tissot,T-Classic Collection,37780,Budget,Erkek,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,80 Saat,Siyah,Paslanmaz Atelik,PRX Powermatic 80,37.780₺,T137.407.11.051.00,1853,30113.854,26090,13456.789,288,0.25457206,0.12604791,-0.56507707,FALSE,160,Snorkeling (100m),Ekonomik,40,Orta (36-40mm),Giriş Seviyesi
Seastar 1000,Tissot,T-Sport Collection,23690,Budget,Women,Pilli,Paslanmaz Atelik,Steel,300m,Diving,Switzerland,171,Entry Collection,2 Yıl,,Beyaz,Paslanmaz Atelik,Seastar 1000,23.690₺,T120.210.11.011.00,1853,30113.854,26090,13456.789,288,-0.2133189,0.07005988,-0.59057474,FALSE,97,Professyonel Dalaay (300m+),Ekonomik,36,Orta (36-40mm),Giriş Seviyesi
Seastar 1000 Chronograph,Tissot,T-Sport Collection,31480,Budget,Erkek,Pilli,Paslanmaz Atelik,Steel,300m,Diving,Switzerland,171,Entry Collection,2 Yıl,,Yeayil,Paslanmaz Atelik,Seastar 1000 Chronograph,31.480₺,T120.417.11.091.01,1853,30113.854,26090,13456.789,288,0.045366023,0.10988024,-0.5764777,FALSE,97,Professyonel Dalaay (300m+),Ekonomik,46,Atok Bayak (>44mm),Giriş Seviyesi
Le Locle Powermatic 80,Tissot,T-Classic Collection,39580,Budget,Erkek,Otomatik,Atelik Altn,Gold,30m,Splash Resistant,Switzerland,171,Entry Collection,2 Yıl,80 Saat,Gamaay,Atelik Altn,Le Locle Powermatic 80,39.580₺,T006.407.22.033.00,1853,30113.854,26090,13456.789,288,0.3143452,0.13473053,-0.56181973,FALSE,160,Ganlak Kullanam (30m),Ekonomik,40,Orta (36-40mm),Giriş Seviyesi
Supersport Chrono,Tissot,T-Sport Collection,23990,Budget,Erkek,Pilli,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,,Siyah,Tekstil,Supersport Chrono,23.990₺,T125.617.17.051.03,1853,30113.854,26090,13456.789,288,-0.2033567,0.07335329,-0.59003186,FALSE,97,Snorkeling (100m),Ekonomik,46,Atok Bayak (>44mm),Giriş Seviyesi
Le Locle Powermatic 80,Tissot,T-Classic Collection,35980,Budget,Erkek,Otomatik,Paslanmaz Atelik,Steel,30m,Splash Resistant,Switzerland,171,Entry Collection,2 Yıl,80 Saat,Gamaay,Paslanmaz Atelik,Le Locle Powermatic 80,35.980₺,T006.407.11.033.00,1853,30113.854,26090,13456.789,288,0.1947989,0.11886228,-0.5683344,FALSE,160,Ganlak Kullanam (30m),Ekonomik,40,Orta (36-40mm),Giriş Seviyesi
PR 100 Lady Sport Chic,Tissot,T-Classic Collection,19790,Budget,Women,Pilli,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,,Mavi,Paslanmaz Atelik,PR 100 Lady Sport Chic,19.790₺,T101.910.11.351.00,1853,30113.854,26090,13456.789,288,-0.3428274,0.037125748,-0.5976323,FALSE,160,Snorkeling (100m),Ekonomik,36,Orta (36-40mm),Giriş Seviyesi
Seastar 2000 Professional Powermatic,Tissot,T-Sport Collection,59360,Budget,Erkek,Otomatik,Paslanmaz Atelik,Steel,600m,Professional Diving,Switzerland,171,Entry Collection,2 Yıl,80 Saat,Mavi,Paslanmaz Atelik,Seastar 2000 Professional Powermatic,59.360₺,T120.607.11.041.00,1853,30113.854,26090,13456.789,288,0.97118574,0.18143712,-0.5260252,FALSE,97,Daiyer,Ekonomik,46,Atok Bayak (>44mm),Giriş Seviyesi
Chrono XL Vintage,Tissot,T-Sport Collection,20390,Budget,Erkek,Pilli,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,,Siyah,Deri,Chrono XL Vintage,20.390₺,T116.617.36.052.00,1853,30113.854,26090,13456.789,288,-0.322903,0.04700599,-0.59654653,FALSE,97,Snorkeling (100m),Ekonomik,45,Atok Bayak (>44mm),Giriş Seviyesi
Gentleman Powermatic 80 Silicium,Tissot,T-Classic Collection,44670,Budget,Erkek,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,80 Saat,Mavi,Paslanmaz Atelik,Gentleman Powermatic 80 Silicium,44.670₺,T127.407.11.041.00,1853,30113.854,26090,13456.789,288,0.4833704,0.15658683,-0.55260867,FALSE,160,Snorkeling (100m),Ekonomik,40,Orta (36-40mm),Giriş Seviyesi
Chrono XL Classic,Tissot,T-Sport Collection,21590,Budget,Erkek,Pilli,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,,Gamaay,Paslanmaz Atelik,Chrono XL Classic,21.590₺,T116.617.11.037.00,1853,30113.854,26090,13456.789,288,-0.28305423,0.055988025,-0.59437495,FALSE,97,Snorkeling (100m),Ekonomik,45,Atok Bayak (>44mm),Giriş Seviyesi
Chrono XL Classic,Tissot,T-Sport Collection,23990,Budget,Erkek,Pilli,Atelik Altn,Gold,100m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,,Mavi,Atelik Altn,Chrono XL Classic,23.990₺,T116.617.22.041.00,1853,30113.854,26090,13456.789,288,-0.2033567,0.07335329,-0.59003186,FALSE,97,Snorkeling (100m),Ekonomik,45,Atok Bayak (>44mm),Giriş Seviyesi
Seastar 1000 Chronograph,Tissot,T-Sport Collection,31480,Budget,Erkek,Pilli,Paslanmaz Atelik,Steel,300m,Diving,Switzerland,171,Entry Collection,2 Yıl,,Siyah,Paslanmaz Atelik,Seastar 1000 Chronograph,31.480₺,T120.417.11.051.00,1853,30113.854,26090,13456.789,288,0.045366023,0.10988024,-0.5764777,FALSE,97,Professyonel Dalaay (300m+),Ekonomik,46,Atok Bayak (>44mm),Giriş Seviyesi
Chrono XL Classic,Tissot,T-Sport Collection,21590,Budget,Erkek,Pilli,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,,Siyah,Paslanmaz Atelik,Chrono XL Classic,21.590₺,T116.617.11.057.01,1853,30113.854,26090,13456.789,288,-0.28305423,0.055988025,-0.59437495,FALSE,97,Snorkeling (100m),Ekonomik,45,Atok Bayak (>44mm),Giriş Seviyesi
T-My Lady,Tissot,T-Classic Collection,46770,Budget,Women,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,48 Saat,Pembe,Paslanmaz Atelik,T-My Lady,46.770₺,T132.007.11.336.00,1853,30113.854,26090,13456.789,288,0.5531058,0.16077845,-0.54880846,FALSE,160,Snorkeling (100m),Ekonomik,29,Kaaak (<36mm),Giriş Seviyesi
Seastar 1000 Chronograph,Tissot,T-Sport Collection,34480,Budget,Erkek,Pilli,Atelik Altn,Gold,300m,Diving,Switzerland,171,Entry Collection,2 Yıl,,Siyah,Kauasuk,Seastar 1000 Chronograph,34.480₺,T120.417.37.051.00,1853,30113.854,26090,13456.789,288,0.14498794,0.116167665,-0.5710488,FALSE,97,Professyonel Dalaay (300m+),Ekonomik,45.5,Atok Bayak (>44mm),Giriş Seviyesi
Carson Premium,Tissot,T-Classic Collection,17690,Budget,Erkek,Pilli,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,,Mavi,Krokodil,Carson Premium,17.690₺,T122.410.16.043.00,1853,30113.854,26090,13456.789,288,-0.41256273,0.021556886,-0.6014325,FALSE,160,Yazme (50m),Ekonomik,40,Orta (36-40mm),Giriş Seviyesi
PRX Powermatic 80,Tissot,T-Classic Collection,34180,Budget,Erkek,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,80 Saat,Siyah,Krokodil,PRX Powermatic 80,34.180₺,T137.407.16.051.00,1853,30113.854,26090,13456.789,288,0.13502575,0.11467066,-0.57159173,FALSE,160,Snorkeling (100m),Ekonomik,40,Orta (36-40mm),Giriş Seviyesi
PR 100 Sport Gent Chronograph,Tissot,T-Classic Collection,24890,Budget,Erkek,Pilli,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,,Mavi,Paslanmaz Atelik,PR 100 Sport Gent Chronograph,24.890₺,T101.617.11.041.00,1853,30113.854,26090,13456.789,288,-0.17347012,0.07904191,-0.58840317,FALSE,160,Snorkeling (100m),Ekonomik,44,Bayak (40-44mm),Giriş Seviyesi
Everytime,Tissot,T-Classic Collection,15590,Budget,Erkek,Pilli,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,,Beyaz,Paslanmaz Atelik,Everytime,15.590₺,T143.410.11.011.01,1853,30113.854,26090,13456.789,288,-0.48229808,0.008383233,-0.6052328,FALSE,160,Yazme (50m),Ekonomik,40,Orta (36-40mm),Giriş Seviyesi
T-My Lady,Tissot,T-Classic Collection,41980,Budget,Women,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,48 Saat,Mavi,Paslanmaz Atelik,T-My Lady,41.980₺,T132.007.11.351.00,1853,30113.854,26090,13456.789,288,0.39404276,0.14131737,-0.5574766,FALSE,160,Snorkeling (100m),Ekonomik,30,Kaaak (<36mm),Giriş Seviyesi
T-My Lady,Tissot,T-Classic Collection,41980,Budget,Women,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,48 Saat,Yeayil,Paslanmaz Atelik,T-My Lady,41.980₺,T132.007.11.091.00,1853,30113.854,26090,13456.789,288,0.39404276,0.14131737,-0.5574766,FALSE,160,Snorkeling (100m),Ekonomik,30,Kaaak (<36mm),Giriş Seviyesi
Heritage 1938 Automatic COSC,Tissot,Heritage Collection,43470,Budget,Erkek,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,171,Entry Collection,3 Yıl,38 Saat,Pembe,Deri,Heritage 1938 Automatic COSC,43.470₺,T142.464.16.332.00,1853,30113.854,26090,13456.789,288,0.44352165,0.1482036,-0.55478024,FALSE,3,Yazme (50m),Ekonomik,39,Orta (36-40mm),Giriş Seviyesi
Bellissima Small Lady,Tissot,T-Lady Collection,27890,Budget,Women,Pilli,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,,Sedef,Krokodil,Bellissima Small Lady,27.890₺,T126.010.66.113.00,1853,30113.854,26090,13456.789,288,-0.07384821,0.095508985,-0.5829743,FALSE,23,Yazme (50m),Ekonomik,26,Kaaak (<36mm),Giriş Seviyesi
Carson Premium,Tissot,T-Classic Collection,22790,Budget,Erkek,Pilli,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,,Gamaay,Paslanmaz Atelik,Carson Premium,22.790₺,T122.410.22.033.00,1853,30113.854,26090,13456.789,288,-0.24320547,0.06347305,-0.59220344,FALSE,160,Yazme (50m),Ekonomik,40,Orta (36-40mm),Giriş Seviyesi
Carson Premium Powermatic 80,Tissot,T-Classic Collection,38380,Budget,Erkek,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,80 Saat,Gamaay,Paslanmaz Atelik,Carson Premium Powermatic 80,38.380₺,T122.407.11.031.00,1853,30113.854,26090,13456.789,288,0.27449644,0.13083832,-0.56399125,FALSE,160,Yazme (50m),Ekonomik,40,Orta (36-40mm),Giriş Seviyesi
Chemin Des Tourelles Powermatic 80,Tissot,T-Classic Collection,44370,Budget,Erkek,Otomatik,Atelik Altn,Gold,50m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,80 Saat,Gamaay,Krokodil,Chemin Des Tourelles Powermatic 80,44.370₺,T139.807.36.031.00,1853,30113.854,26090,13456.789,288,0.47340822,0.15329342,-0.55315155,FALSE,160,Yazme (50m),Ekonomik,39,Orta (36-40mm),Giriş Seviyesi
Everytime,Tissot,T-Classic Collection,16190,Budget,Women,Pilli,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,,Pembe,Paslanmaz Atelik,Everytime,16.190₺,T143.210.33.331.00,1853,30113.854,26090,13456.789,288,-0.4623737,0.015568863,-0.60414696,FALSE,160,Yazme (50m),Ekonomik,34,Kaaak (<36mm),Giriş Seviyesi
